Entrez ID	Ensembl ID
23429	ENSG00000281766
3635	ENSG00000281614
29989	ENSG00000280584
6566	ENSG00000281917
100996251	ENSG00000281557
23522	ENSG00000281813
55733	ENSG00000280680
6195	ENSG00000281877
4705	ENSG00000281434
4705	ENSG00000281434
29943	ENSG00000281459
6837	ENSG00000281022
285346	ENSG00000281626
51702	ENSG00000280549
23569	ENSG00000280908
55888	ENSG00000281894
353238	ENSG00000280949
55920	ENSG00000281540
55920	ENSG00000281540
55054	ENSG00000281089
10168	ENSG00000281709
7584	ENSG00000281306
7584	ENSG00000281306
6836	ENSG00000280951
